,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
182,"frozenset({'ItalCook', 'YouthBks'})",frozenset({'CookBks'}),0.059,0.431,0.059,1.0,2.320185614849188,0.033571000000000004,inf,0.6046758767268864
183,frozenset({'CookBks'}),"frozenset({'ItalCook', 'YouthBks'})",0.431,0.059,0.059,0.1368909512761021,2.3201856148491884,0.033571000000000004,1.090244623655914,1.0000000000000002
184,frozenset({'ItalCook'}),"frozenset({'CookBks', 'YouthBks'})",0.1135,0.162,0.059,0.5198237885462554,3.2087888181867616,0.040612999999999996,1.7451926605504584,0.7764872331679524
185,frozenset({'YouthBks'}),"frozenset({'CookBks', 'ItalCook'})",0.2475,0.1135,0.059,0.23838383838383836,2.100298135540426,0.030908749999999995,1.1639721485411139,0.6961822174671998
186,"frozenset({'RefBks', 'DoItYBks'})",frozenset({'YouthBks'}),0.1055,0.2475,0.058,0.5497630331753555,2.2212647805064867,0.03188875000000001,1.6713421052631579,0.6146517993099594
187,"frozenset({'RefBks', 'YouthBks'})",frozenset({'DoItYBks'}),0.0965,0.282,0.058,0.6010362694300518,2.1313342887590494,0.030787000000000005,1.7996623376623377,0.587504532183272
188,"frozenset({'DoItYBks', 'YouthBks'})",frozenset({'RefBks'}),0.1155,0.2145,0.058,0.5021645021645021,2.341093250184159,0.03322525,1.5778304347826086,0.6476530671916726
189,frozenset({'RefBks'}),"frozenset({'DoItYBks', 'YouthBks'})",0.2145,0.1155,0.058,0.2703962703962704,2.341093250184159,0.03322525,1.2123019169329072,0.7292796154437102
190,frozenset({'DoItYBks'}),"frozenset({'RefBks', 'YouthBks'})",0.282,0.0965,0.058,0.20567375886524825,2.131334288759049,0.030787000000000005,1.137441964285714,0.739290173854577
191,frozenset({'YouthBks'}),"frozenset({'RefBks', 'DoItYBks'})",0.2475,0.1055,0.058,0.23434343434343435,2.2212647805064867,0.03188875000000001,1.1682783641160948,0.7306392484820715
192,"frozenset({'ArtBks', 'DoItYBks'})",frozenset({'YouthBks'}),0.1235,0.2475,0.06,0.48582995951417,1.9629493313703839,0.029433749999999998,1.4635236220472438,0.5596833998859098
193,"frozenset({'ArtBks', 'YouthBks'})",frozenset({'DoItYBks'}),0.101,0.282,0.06,0.594059405940594,2.106593638087213,0.031518,1.768731707317073,0.5843159065628475
194,"frozenset({'DoItYBks', 'YouthBks'})",frozenset({'ArtBks'}),0.1155,0.241,0.06,0.5194805194805194,2.1555208277199975,0.0321645,1.5795405405405405,0.6060768795929905
